[header]
width=16
height=11
tilewidth=16
tileheight=16

[tilesets]
tileset=../OpenGL2DGame/p02 (Tile Based Engine)/blocks.png,16,16,0,0

[layer]
type=Capa de Patrones 1
data=
62,62,26,3,26,3,26,3,3,26,3,26,3,26,3,26,
62,62,26,3,26,3,26,3,3,26,3,26,3,26,3,26,
62,62,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
62,63,3,3,3,3,26,3,3,26,3,26,3,26,3,3,
63,3,26,3,26,3,3,3,3,3,3,3,3,3,3,3,
3,3,3,3,3,3,26,3,3,26,3,26,3,26,3,3,
45,3,26,3,7,3,3,3,3,3,3,3,3,3,3,3,
62,45,3,3,3,3,26,3,3,26,3,26,3,26,3,3,
62,62,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
62,62,26,26,26,26,26,26,26,26,26,26,26,26,26,26,
62,62,26,26,26,26,26,26,26,26,26,26,26,26,26,26

