[header]
width=16
height=11
tilewidth=16
tileheight=16

[tilesets]
tileset=../sprites/blocks.png,16,16,0,0

[layer]
type=Capa de Patrones 1
data=
56,56,56,19,56,56,56,56,56,56,56,56,56,19,56,56,
56,56,56,19,56,56,57,55,56,56,137,56,56,19,56,56,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,55,56,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,56,
3,3,21,3,3,21,3,3,21,3,3,21,3,3,3,56,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,56,
3,3,21,3,3,21,3,3,21,3,3,21,3,3,3,56,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,56,
3,3,3,3,3,3,3,3,3,3,3,3,3,3,37,56,
38,38,38,38,19,38,39,37,38,38,38,38,38,38,56,56,
56,56,56,56,19,56,56,56,56,56,56,56,56,56,56,56

