56,56,56,56,56,56,19,56,56,56,56,56,56,19,56,56,
56,56,56,56,56,56,19,56,56,56,56,56,56,19,56,56,
56,56,15,15,15,15,15,15,15,15,15,15,15,15,56,56,
56,56,15,15,15,15,15,15,15,15,15,15,15,15,56,56,
56,57,15,33,15,33,15,33,15,33,15,33,15,15,56,56,
3,3,15,15,15,15,15,15,15,15,15,15,15,15,56,56,
38,39,15,33,15,33,15,33,15,33,15,33,15,15,56,56,
56,56,15,15,15,15,15,15,15,15,15,15,15,15,56,56,
56,56,15,15,15,15,15,15,15,15,15,15,15,15,56,56,
56,56,38,38,38,38,38,38,38,38,38,38,38,38,56,56,
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
